Roll,Name,Email,Unnamed: 3,Unique
1401CS02,Divyanshi,Divyanshi@mycollege.in,,
1401MT03,Mritunjay,Mritunjay@mycollege.in,,
1401CS05,Astha,Astha@mycollege.in,,
1401MT06,Goldy,Goldy@mycollege.in,,
1401CS08,Narendra,Narendra@mycollege.in,,
1401MT09,Fariya,Fariya@mycollege.in,,
1401CS11,Ritesh,Ritesh@mycollege.in,,
1401MT12,Khalid,Khalid@mycollege.in,,
1401CS14,Anmol,Anmol@mycollege.in,,
1401MT15,Vasundhara,Vasundhara@mycollege.in,,
1401CS17,Shekhar,Shekhar@mycollege.in,,
1401MT18,Suchita,Suchita@mycollege.in,,
1401CS20,Sekhar,Sekhar@mycollege.in,,
1401MT21,Ibrahim,Ibrahim@mycollege.in,,
1401CS23,Apurva,Apurva@mycollege.in,,
1401MT24,Kunaal,Kunaal@mycollege.in,,
1401CS26,Aqsa,Aqsa@mycollege.in,,
1401MT27,Sawan,Sawan@mycollege.in,,
1401CS29,Hasni,Hasni@mycollege.in,,
1401MT30,Pradium,Pradium@mycollege.in,,
1401CS32,Amarnath,Amarnath@mycollege.in,,
1401MT33,Leena,Leena@mycollege.in,,
1401CS35,Chetna,Chetna@mycollege.in,,
1401MT36,Ritank,Ritank@mycollege.in,,
1401CS38,Abhyuday,Abhyuday@mycollege.in,,
1401MT39,Ranjan,Ranjan@mycollege.in,,
1401CS41,Om,Om@mycollege.in,,
1401MT42,Nargis,Nargis@mycollege.in,,
1401CS44,Madhav,Madhav@mycollege.in,,
1401MT45,Neelu,Neelu@mycollege.in,,
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,,
1401CH49,Shailesh,Shailesh@mycollege.in,,
1401MT50,Nitya,Nitya@mycollege.in,,
1401MM52,Anunay,Anunay@mycollege.in,,
1401MC54,Kapil,Kapil@mycollege.in,,
1401MM56,Anubhuti,Anubhuti@mycollege.in,,
1401CS59,Avinash,Avinash@mycollege.in,,
1401MM61,Arshad,Arshad@mycollege.in,,
1401CS64,Aakash,Aakash@mycollege.in,,
1401CH67,Udit,Udit@mycollege.in,,
1401CH70,Sameer,Sameer@mycollege.in,,
1401CH73,Mahi,Mahi@mycollege.in,,
1401CH76,Rajat,Rajat@mycollege.in,,
1401CH80,Roshan,Roshan@mycollege.in,,
1401CS87,Shikha,Shikha@mycollege.in,,
