Roll,Name,Email,Unnamed: 3,Unique
1401CS07,Mahek,Mahek@mycollege.in,,
1401CS22,Durga,Durga@mycollege.in,,
1401CS37,Aakriti,Aakriti@mycollege.in,,
1401CS52,Uttam,Uttam@mycollege.in,,
1401CS67,Vertika,Vertika@mycollege.in,,
1401CS82,Shubh,Shubh@mycollege.in,,
1401CH02,Ganesh,Ganesh@mycollege.in,,
1401CH17,Kushal,Kushal@mycollege.in,,
1401CH32,Stuti,Stuti@mycollege.in,,
1401CH47,Sachin,Sachin@mycollege.in,,
1401CH62,Karan,Karan@mycollege.in,,
1401CH77,Rituraj,Rituraj@mycollege.in,,
1401MM08,Deepa,Deepa@mycollege.in,,
1401MM23,Anubha,Anubha@mycollege.in,,
1401MM38,Rupeshwary,Rupeshwary@mycollege.in,,
1401MM53,Vidit,Vidit@mycollege.in,,
1401MM68,Areeb,Areeb@mycollege.in,,
1401MT01,Mairaz,Mairaz@mycollege.in,,
1401MT16,Kandarp,Kandarp@mycollege.in,,
1401MT31,Omhari,Omhari@mycollege.in,,
1401MT46,Mukund,Mukund@mycollege.in,,
1401MT61,Rishu,Rishu@mycollege.in,,
1401MT76,Saksham,Saksham@mycollege.in,,
1401MC13,Karthikeya,Karthikeya@mycollege.in,,
1401MC28,Krishan,Krishan@mycollege.in,,
1401MC43,Mrityunjay,Mrityunjay@mycollege.in,,
1401MC58,Tejas,Tejas@mycollege.in,,
1401MC73,Vignesh,Vignesh@mycollege.in,,
1401CT13,Yashika,Yashika@mycollege.in,,
1401CT28,Ranu,Ranu@mycollege.in,,
1401CT43,Simaran,Simaran@mycollege.in,,
1401CT58,Hariom,Hariom@mycollege.in,,
1401CE09,Sandeep,Sandeep@mycollege.in,,
1401CE24,Priyanshu,Priyanshu@mycollege.in,,
1401CE39,Aayush,Aayush@mycollege.in,,
1401CE54,Shivansh,Shivansh@mycollege.in,,
1401EC13,Mehak,Mehak@mycollege.in,,
1401EC28,Deeksha,Deeksha@mycollege.in,,
1401EC43,Hartesh,Hartesh@mycollege.in,,
1401CB04,Shivangi,Shivangi@mycollege.in,,
1401CB19,Nikita,Nikita@mycollege.in,,
1401CB34,Deepak,Deepak@mycollege.in,,
1401CB49,Soumya,Soumya@mycollege.in,,
1401AI14,Vaibhav,Vaibhav@mycollege.in,,
1401AI29,Akash,Akash@mycollege.in,,
1401AI44,Shivani,Shivani@mycollege.in,,
